127.0.0.1 - - [01/Jan/2023:16:31:15 +0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:34 +0800] "GET /Vortex/view/controlpanel/userTables.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:34 +0800] "GET /Vortex/view/login.html HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:34 +0800] "GET /Vortex/assets/vendors/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:34 +0800] "GET /Vortex/assets/vendors/animate.css/animate.min.css HTTP/1.1" 200 52799
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:34 +0800] "GET /Vortex/assets/build/css/custom.min.css HTTP/1.1" 200 62708
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:34 +0800] "GET /Vortex/assets/vendors/fontawesome/css/fontawesome.min.css HTTP/1.1" 200 80766
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:34 +0800] "GET /Vortex/assets/vendors/nprogress/nprogress.css HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:34 +0800] "GET /Vortex/assets/vendors/fontawesome/css/solid.css HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:34 +0800] "GET /Vortex/assets/vendors/fontawesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150516
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:39 +0800] "POST /Vortex/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:39 +0800] "GET /Vortex/view/controlpanel/index.jsp HTTP/1.1" 200 8571
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:39 +0800] "GET /Vortex/assets/vendors/fontawesome/css/all.min.css HTTP/1.1" 200 101899
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:39 +0800] "GET /Vortex/assets/vendors/jquery/dist/jquery.min.js HTTP/1.1" 200 85582
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:32:39 +0800] "GET /Vortex/assets/vendors/bootstrap-daterangepicker/daterangepicker.css HTTP/1.1" 200 8402
